ticket_id,created_at,customer_id,department,city_x,state_x,device_type,os,browser,network_type,historical_tickets,sla_hours,resolution_time_hours,title,description,image_path,image_width,image_height,priority,status,assigned_team,has_attachment,sentiment_score,num_words,num_images_x,latitude,longitude,num_events,num_abertura,num_updates,num_encerramento,target_category
3082,2025-02-06T09:14:00,4667,RH,São Paulo,MG,Mobile,Linux,Firefox,5G,8,48,15,Problema de login: emite beep ao executar consulta.,Problema de login: emite beep ao executar consulta.,images/login.png,500,333,Alta,Aberto,Aplicações,0,0.375,5,2,-26.01458,-48.499226,0,0,0,0,Acesso
1020,2025-01-13T01:00:00,4222,TI,Curitiba,SP,Notebook,iOS,Chrome,4G,15,48,35,Erro no ERP durante fazer login.,Erro no ERP durante fazer login.,images/sap_erp.png,612,344,Média,Em andamento,Aplicações,0,0.746,7,1,-31.094651,-46.139082,0,0,0,0,Financeiro
215,2025-01-03T12:55:00,2128,Operações,Curitiba,MG,Notebook,Android,Safari,WiFi,40,48,49,"Rede instável, reinicia sozinho ao acessar intranet.","Rede instável, reinicia sozinho ao acessar intranet.",images/network.png,500,342,Média,Fechado,Infra,0,-0.359,4,0,-26.624645,-47.76433,0,0,0,0,Rede
3903,2025-02-16T01:51:00,1042,Financeiro,Campinas,RS,Notebook,Android,Chrome,4G,38,24,71,Relatório financeiro não apresenta erro corretamente.,Relatório financeiro não apresenta erro corretamente.,images/finance_report.png,738,414,Baixa,Aberto,N2,0,-0.663,4,2,-30.814297,-43.907659,0,0,0,0,Financeiro
4677,2025-02-25T05:09:00,3606,RH,Santos,RJ,Notebook,Windows,Edge,4G,12,8,61,Erro de conexão no Email durante a enviar email.,Erro de conexão no Email durante a enviar email.,images/email.png,500,333,Alta,Fechado,Aplicações,1,0.706,6,0,-29.394902,-52.377994,0,0,0,0,Software
1118,2025-01-14T04:46:00,9377,Financeiro,Belo Horizonte,PR,Desktop,Linux,Edge,4G,23,4,3,Falha no sistema financeiro: apresenta erro ao exportar dado...,Falha no sistema financeiro: apresenta erro ao exportar dados.,images/finance_report.png,738,414,Crítica,Fechado,N2,1,-0.988,5,3,-27.49332,-43.490123,0,0,0,0,Financeiro
1401,2025-01-17T12:57:00,9766,Financeiro,São Paulo,RS,Notebook,iOS,Chrome,Cabo,16,4,11,O Sistema de tesouraria exibe tela azul ao gerar relatório.,O Sistema de tesouraria exibe tela azul ao gerar relatório.,images/finance_report.png,738,414,Média,Aberto,N1,0,-0.622,5,2,-24.468155,-45.639192,0,0,0,0,Financeiro
2631,2025-02-01T01:27:00,9462,RH,Santos,MG,Desktop,Linux,Safari,Cabo,7,12,2,Erro no sistema de RH: superaquece ao abrir documento.,Erro no sistema de RH: superaquece ao abrir documento.,images/default_hr.png,612,408,Crítica,Aberto,N1,0,0.09,6,0,-31.379311,-52.200993,0,0,0,0,RH
3129,2025-02-06T22:33:00,3557,Operações,Belo Horizonte,RS,Mobile,iOS,Chrome,Cabo,27,4,8,Erro no sistema de RH: não funciona ao executar consulta.,Erro no sistema de RH: não funciona ao executar consulta.,images/finance_report.png,738,414,Média,Aberto,Aplicações,0,-0.939,7,2,-32.609239,-52.860649,0,0,0,0,RH
2356,2025-01-28T19:32:00,3765,Financeiro,Belo Horizonte,PR,Desktop,iOS,Firefox,WiFi,39,48,14,O sistema de folha não está emite beep para imprimir.,O sistema de folha não está emite beep para imprimir.,images/payroll.png,612,408,Baixa,Aberto,N1,1,-0.752,6,2,-25.677808,-50.211078,0,0,0,0,RH
4547,2025-02-23T16:19:00,5523,TI,Curitiba,RS,Mobile,Windows,Chrome,Cabo,18,24,67,O mouse apresenta apresenta erro e sem resposta.,O mouse apresenta apresenta erro e sem resposta.,images/mouse.png,500,335,Crítica,Fechado,Infra,1,0.821,5,1,-24.979705,-43.463691,0,0,0,0,Hardware
1070,2025-01-13T15:10:00,9971,Financeiro,São Paulo,RJ,Mobile,Android,Edge,WiFi,13,12,37,O notebook apresenta fica lento e perda de dados.,O notebook apresenta fica lento e perda de dados.,images/default_hardware.png,612,407,Média,Em andamento,N2,0,0.067,7,1,-27.557974,-50.123168,0,0,0,0,Hardware
735,2025-01-09T16:15:00,6421,TI,Belo Horizonte,BA,Mobile,Linux,Safari,4G,32,12,17,O aplicativo Sistema ERP fecha inesperadamente quando enviar...,O aplicativo Sistema ERP fecha inesperadamente quando enviar email.,images/sap_erp.png,612,344,Baixa,Fechado,N1,0,-0.433,6,3,-26.975882,-48.075404,0,0,0,0,Software
2434,2025-01-29T17:38:00,2643,TI,Belo Horizonte,RJ,Mobile,Linux,Chrome,WiFi,30,12,65,O acesso ao sistema de ponto está bloqueado por superaquece.,O acesso ao sistema de ponto está bloqueado por superaquece.,images/access_denied.png,612,408,Crítica,Aberto,Infra,0,-0.955,6,3,-30.292646,-43.312502,0,0,0,0,Acesso
3739,2025-02-14T03:23:00,8516,RH,Curitiba,PR,Mobile,Windows,Chrome,WiFi,10,24,27,Problema de conectividade: superaquece durante exportar dado...,Problema de conectividade: superaquece durante exportar dados.,images/default_network.png,500,333,Crítica,Em andamento,N2,1,0.508,6,0,-23.149051,-43.507567,0,0,0,0,Rede
261,2025-01-04T01:57:00,5230,Financeiro,Campinas,PR,Desktop,iOS,Firefox,5G,11,24,14,Falha de rede: sem resposta ao tentar gerar relatório.,Falha de rede: sem resposta ao tentar gerar relatório.,images/network.png,500,342,Baixa,Aberto,N1,1,0.431,5,0,-33.420016,-52.402918,0,0,0,0,Rede
1283,2025-01-16T03:31:00,3859,RH,Belo Horizonte,BA,Desktop,Android,Safari,Cabo,15,48,13,Falha no sistema de folha ao tentar enviar email.,Falha no sistema de folha ao tentar enviar email.,images/email.png,500,333,Alta,Aberto,Aplicações,0,-0.446,6,1,-26.943123,-44.801253,0,0,0,0,RH
1064,2025-01-13T13:28:00,7958,TI,Curitiba,SP,Notebook,Windows,Firefox,Cabo,4,48,13,Problema de conectividade: emite beep durante gerar relatóri...,Problema de conectividade: emite beep durante gerar relatório.,images/finance_report.png,738,414,Baixa,Fechado,Infra,0,-0.544,4,2,-24.668229,-46.490301,0,0,0,0,Rede
2722,2025-02-02T03:14:00,6778,Operações,Santos,RS,Mobile,Linux,Firefox,4G,13,12,47,Relatório financeiro não não funciona corretamente.,Relatório financeiro não não funciona corretamente.,images/finance_report.png,738,414,Crítica,Aberto,N2,0,0.807,7,3,-25.703301,-49.410157,0,0,0,0,Financeiro
1325,2025-01-16T15:25:00,2694,Operações,Santos,RS,Notebook,Linux,Firefox,Cabo,1,4,70,Falha de autenticação ao tentar fazer login.,Falha de autenticação ao tentar fazer login.,images/login.png,500,333,Baixa,Em andamento,N2,0,0.486,4,1,-27.499402,-51.455329,0,0,0,0,Acesso
1764,2025-01-21T19:48:00,9172,Financeiro,Curitiba,MG,Mobile,Android,Edge,WiFi,29,8,67,O módulo financeiro falha ao exportar dados.,O módulo financeiro falha ao exportar dados.,images/finance_report.png,738,414,Alta,Aberto,N1,1,0.452,5,0,-28.062944,-52.613735,0,0,0,0,Financeiro
383,2025-01-05T12:31:00,9056,TI,São Paulo,SP,Mobile,iOS,Safari,4G,27,8,23,Falha crítica no fonte: congela com tela azul.,Falha crítica no fonte: congela com tela azul.,images/power_supply.png,500,375,Média,Fechado,N2,0,-0.027,5,0,-28.887797,-45.037732,0,0,0,0,Hardware
2598,2025-01-31T16:06:00,5393,TI,Santos,MG,Desktop,Windows,Edge,4G,7,4,62,O aplicativo FTP fecha inesperadamente quando importar dados...,O aplicativo FTP fecha inesperadamente quando importar dados.,images/browser.png,500,333,Crítica,Em andamento,N1,1,-0.738,6,3,-30.417776,-50.163267,0,0,0,0,Software
976,2025-01-12T12:32:00,6804,TI,Santos,RS,Desktop,Linux,Edge,5G,34,12,56,O módulo financeiro congela ao fazer login.,O módulo financeiro congela ao fazer login.,images/login.png,500,333,Crítica,Fechado,Infra,1,0.47,6,1,-24.757989,-47.73929,0,0,0,0,Financeiro
2040,2025-01-25T02:00:00,3078,RH,Campinas,RS,Mobile,Linux,Edge,Cabo,35,24,28,O usuário relata perda de dados ao tentar acessar portal do ...,O usuário relata perda de dados ao tentar acessar portal do funcionário.,images/hr_portal.png,323,619,Baixa,Em andamento,N2,1,-0.6,7,3,-26.770968,-50.433628,0,0,0,0,Acesso
2439,2025-01-29T19:03:00,9658,TI,São Paulo,SP,Desktop,Windows,Chrome,Cabo,15,4,22,Relatório financeiro não falha corretamente.,Relatório financeiro não falha corretamente.,images/finance_report.png,738,414,Alta,Fechado,N1,1,0.831,6,0,-32.779185,-44.972516,0,0,0,0,Financeiro
4199,2025-02-19T13:43:00,4633,Operações,Campinas,PR,Mobile,Android,Edge,5G,16,48,17,Problema de conectividade: não liga durante gerar relatório.,Problema de conectividade: não liga durante gerar relatório.,images/finance_report.png,738,414,Alta,Em andamento,Aplicações,1,-0.588,5,1,-31.601081,-48.860773,0,0,0,0,Rede
2469,2025-01-30T03:33:00,5598,TI,São Paulo,PR,Desktop,Android,Chrome,Cabo,25,12,65,O sistema de recrutamento apresenta cheiro de queimado duran...,O sistema de recrutamento apresenta cheiro de queimado durante gerar relatório.,images/recruitment.png,500,333,Alta,Em andamento,N2,1,0.227,4,0,-25.572251,-51.654689,0,0,0,0,RH
2159,2025-01-26T11:43:00,8639,Financeiro,São Paulo,RS,Notebook,iOS,Firefox,5G,1,12,67,"Rede instável, falha ao acessar aplicação web.","Rede instável, falha ao acessar aplicação web.",images/network.png,500,342,Baixa,Aberto,N1,1,0.357,6,1,-30.851736,-51.336443,0,0,0,0,Rede
1975,2025-01-24T07:35:00,2691,TI,Santos,MG,Desktop,Linux,Edge,Cabo,2,8,12,O sistema de recrutamento apresenta perda de dados durante e...,O sistema de recrutamento apresenta perda de dados durante enviar email.,images/email.png,500,333,Crítica,Em andamento,N1,1,-0.897,6,1,-31.136574,-50.022006,0,0,0,0,RH
213,2025-01-03T12:21:00,7484,Operações,São Paulo,SP,Mobile,iOS,Firefox,4G,5,8,21,O módulo financeiro não liga ao fazer login.,O módulo financeiro não liga ao fazer login.,images/login.png,500,333,Baixa,Fechado,Infra,0,-0.88,5,1,-26.155523,-45.264484,0,0,0,0,Financeiro
4883,2025-02-27T15:31:00,2325,RH,Curitiba,RJ,Notebook,iOS,Safari,Cabo,0,24,72,O sistema Excel exibe não funciona ao enviar email.,O sistema Excel exibe não funciona ao enviar email.,images/office.png,500,333,Crítica,Em andamento,N2,1,-0.183,6,0,-32.707251,-49.254955,0,0,0,0,Software
1470,2025-01-18T08:30:00,8513,Operações,São Paulo,MG,Desktop,Android,Chrome,5G,13,8,33,Problema de login: falha ao importar dados.,Problema de login: falha ao importar dados.,images/login.png,500,333,Média,Aberto,N1,0,-0.185,7,1,-24.324093,-48.625639,0,0,0,0,Acesso
3255,2025-02-08T10:15:00,7515,TI,Santos,SP,Mobile,iOS,Edge,Cabo,28,24,4,O acesso à servidor de arquivos falha com fica lento.,O acesso à servidor de arquivos falha com fica lento.,images/server.png,500,333,Alta,Aberto,Infra,1,0.359,6,0,-23.275916,-49.294429,0,0,0,0,Rede
2795,2025-02-02T23:55:00,6754,RH,Santos,BA,Mobile,iOS,Chrome,4G,3,8,72,O ERP exibe perda de dados ao gerar relatório.,O ERP exibe perda de dados ao gerar relatório.,images/sap_erp.png,612,344,Baixa,Em andamento,Aplicações,1,0.829,6,3,-30.741668,-52.321245,0,0,0,0,Financeiro
3628,2025-02-12T19:56:00,5766,TI,Curitiba,BA,Desktop,iOS,Firefox,WiFi,9,24,47,O usuário relatou que o memória superaquece durante o acesso...,O usuário relatou que o memória superaquece durante o acesso à rede.,images/network.png,500,342,Alta,Aberto,N2,0,-0.284,4,0,-23.304716,-45.389284,0,0,0,0,Hardware
995,2025-01-12T17:55:00,6354,Financeiro,Belo Horizonte,BA,Desktop,Windows,Edge,4G,36,48,54,Problema de hardware: o placa-mãe reinicia sozinho inesperad...,Problema de hardware: o placa-mãe reinicia sozinho inesperadamente.,images/motherboard.png,612,408,Média,Em andamento,N2,0,0.234,3,3,-31.730625,-49.458142,0,0,0,0,Hardware
472,2025-01-06T13:44:00,9287,RH,Curitiba,SP,Desktop,Android,Safari,5G,11,8,70,O usuário relata tela preta ao tentar acessar sistema de RH.,O usuário relata tela preta ao tentar acessar sistema de RH.,images/default_access.png,191,165,Baixa,Fechado,N1,1,-0.708,6,0,-31.785594,-44.996354,0,0,0,0,Acesso
3156,2025-02-07T06:12:00,3960,Operações,Campinas,BA,Desktop,iOS,Safari,Cabo,25,12,33,Falha no sistema de folha ao tentar abrir documento.,Falha no sistema de folha ao tentar abrir documento.,images/payroll.png,612,408,Média,Fechado,Aplicações,0,-0.761,5,0,-25.408743,-52.876416,0,0,0,0,RH
1507,2025-01-18T18:59:00,7276,RH,Belo Horizonte,RJ,Desktop,Linux,Edge,Cabo,36,8,30,O sistema de ponto apresenta tela preta durante importar dad...,O sistema de ponto apresenta tela preta durante importar dados.,images/payroll.png,612,408,Baixa,Em andamento,Infra,1,0.937,6,3,-30.193767,-45.004775,0,0,0,0,RH
298,2025-01-04T12:26:00,7374,RH,São Paulo,RS,Mobile,iOS,Safari,5G,35,8,65,O aplicativo FTP fecha inesperadamente quando exportar dados...,O aplicativo FTP fecha inesperadamente quando exportar dados.,images/browser.png,500,333,Alta,Em andamento,Aplicações,1,0.234,5,2,-25.445469,-50.284068,0,0,0,0,Software
1071,2025-01-13T15:27:00,5140,Financeiro,Santos,PR,Mobile,Windows,Edge,5G,18,48,26,Erro de runtime no Sistema de Notas Fiscais durante a fazer ...,Erro de runtime no Sistema de Notas Fiscais durante a fazer login.,images/login.png,500,333,Baixa,Aberto,N1,1,0.393,3,3,-28.066784,-48.481088,0,0,0,0,Software
1116,2025-01-14T04:12:00,4304,RH,Curitiba,MG,Mobile,Windows,Edge,Cabo,33,8,6,Falha crítica no HD: desliga com tela preta.,Falha crítica no HD: desliga com tela preta.,images/hard_drive.png,500,334,Crítica,Em andamento,N1,1,0.608,5,1,-26.16641,-49.210099,0,0,0,0,Hardware
1429,2025-01-17T20:53:00,5885,Operações,Santos,MG,Mobile,iOS,Edge,Cabo,7,8,14,O acesso à servidor de arquivos falha com congela.,O acesso à servidor de arquivos falha com congela.,images/server.png,500,333,Média,Aberto,N2,1,-0.873,6,0,-31.515611,-44.508964,0,0,0,0,Rede
3961,2025-02-16T18:17:00,8313,Operações,Belo Horizonte,RJ,Mobile,Android,Safari,WiFi,9,4,44,Problema de conectividade: emite beep durante imprimir.,Problema de conectividade: emite beep durante imprimir.,images/default_network.png,500,333,Alta,Em andamento,N1,1,0.055,6,0,-30.632819,-46.998316,0,0,0,0,Rede
2045,2025-01-25T03:25:00,7908,TI,Belo Horizonte,MG,Notebook,Windows,Chrome,WiFi,21,48,15,Falha de rede: tela piscando ao tentar gerar relatório.,Falha de rede: tela piscando ao tentar gerar relatório.,images/network.png,500,342,Alta,Em andamento,N2,1,0.407,6,2,-27.034611,-43.385874,0,0,0,0,Rede
2884,2025-02-04T01:08:00,9156,RH,Campinas,BA,Desktop,iOS,Edge,5G,26,4,34,O acesso ao sistema de ponto está bloqueado por desliga.,O acesso ao sistema de ponto está bloqueado por desliga.,images/access_denied.png,612,408,Média,Em andamento,Infra,1,0.257,7,3,-31.018882,-44.210687,0,0,0,0,Acesso
4594,2025-02-24T05:38:00,2360,Financeiro,Campinas,MG,Desktop,Linux,Safari,5G,30,4,23,O usuário relatou que o notebook fica lento durante o execuç...,O usuário relatou que o notebook fica lento durante o execução de tarefa.,images/default_hardware.png,612,407,Crítica,Fechado,Aplicações,0,-0.962,6,2,-24.844026,-48.037507,0,0,0,0,Hardware
1622,2025-01-20T03:34:00,1763,Operações,Belo Horizonte,SP,Mobile,Linux,Edge,WiFi,11,8,22,"Rede instável, apresenta erro ao acessar VPN.","Rede instável, apresenta erro ao acessar VPN.",images/vpn.png,500,333,Baixa,Fechado,N1,0,-0.251,7,1,-31.860362,-46.190849,0,0,0,0,Rede
3473,2025-02-11T00:01:00,8115,RH,Belo Horizonte,RS,Notebook,Android,Chrome,Cabo,30,4,41,O notebook não responde e exibe mensagem de erro.,O notebook não responde e exibe mensagem de erro.,images/default_hardware.png,612,407,Média,Fechado,N2,1,-0.619,6,0,-25.399578,-43.304161,0,0,0,0,Hardware
221,2025-01-03T14:37:00,7014,Operações,Campinas,MG,Notebook,Windows,Safari,Cabo,4,12,62,Erro de compilação no SAP durante a exportar dados.,Erro de compilação no SAP durante a exportar dados.,images/sap_erp.png,612,344,Alta,Fechado,N1,1,-0.925,6,3,-32.944596,-52.546365,0,0,0,0,Software
161,2025-01-02T21:37:00,1749,Financeiro,Santos,PR,Mobile,Android,Safari,Cabo,21,24,46,O FTP apresenta tela azul e não exportar dados.,O FTP apresenta tela azul e não exportar dados.,images/browser.png,500,333,Baixa,Em andamento,N1,0,-0.551,5,1,-31.498027,-52.883059,0,0,0,0,Software
733,2025-01-09T15:41:00,7636,Operações,São Paulo,MG,Desktop,iOS,Firefox,WiFi,10,8,29,O usuário não consegue abrir documento devido a falha.,O usuário não consegue abrir documento devido a falha.,images/default_access.png,191,165,Média,Fechado,N2,0,0.984,5,2,-33.63833,-49.782995,0,0,0,0,Acesso
2408,2025-01-29T10:16:00,9221,RH,Belo Horizonte,SP,Mobile,iOS,Safari,4G,6,12,56,O usuário não consegue imprimir devido a emite beep.,O usuário não consegue imprimir devido a emite beep.,images/default_hr.png,612,408,Média,Aberto,Aplicações,0,0.6,3,2,-27.623267,-47.020582,0,0,0,0,RH
3208,2025-02-07T20:56:00,8663,TI,Campinas,BA,Notebook,iOS,Chrome,Cabo,20,8,37,O módulo financeiro emite beep ao abrir documento.,O módulo financeiro emite beep ao abrir documento.,images/finance_report.png,738,414,Baixa,Em andamento,Infra,1,-0.519,7,2,-30.370268,-50.154899,0,0,0,0,Financeiro
305,2025-01-04T14:25:00,1691,RH,São Paulo,SP,Desktop,Android,Edge,WiFi,26,12,12,O sistema de folha não está apresenta erro para imprimir.,O sistema de folha não está apresenta erro para imprimir.,images/payroll.png,612,408,Média,Aberto,N1,0,0.044,5,2,-28.388683,-52.206537,0,0,0,0,RH
2593,2025-01-31T14:41:00,1517,RH,Santos,BA,Notebook,iOS,Safari,4G,6,8,55,O usuário relatou que o memória desliga durante o uso normal...,O usuário relatou que o memória desliga durante o uso normal.,images/default_hardware.png,612,407,Alta,Fechado,N1,1,-0.287,6,1,-30.002143,-51.116983,0,0,0,0,Hardware
3984,2025-02-17T00:48:00,9303,TI,Belo Horizonte,SP,Notebook,Android,Chrome,5G,18,4,26,Falha no portal do funcionário ao tentar exportar dados.,Falha no portal do funcionário ao tentar exportar dados.,images/hr_portal.png,323,619,Baixa,Fechado,Aplicações,0,-0.145,3,2,-26.403062,-52.629183,0,0,0,0,RH
873,2025-01-11T07:21:00,9314,Financeiro,São Paulo,RS,Notebook,Linux,Safari,5G,16,48,24,O SAP exibe tela preta ao gerar relatório.,O SAP exibe tela preta ao gerar relatório.,images/sap_erp.png,612,344,Crítica,Fechado,N2,0,0.895,6,2,-29.286148,-50.446726,0,0,0,0,Financeiro
8,2025-01-01T02:16:00,4470,Operações,Santos,PR,Mobile,Android,Safari,5G,7,8,29,"Rede instável, superaquece ao acessar aplicação web.","Rede instável, superaquece ao acessar aplicação web.",images/network.png,500,342,Crítica,Aberto,N2,0,-0.986,6,0,-31.304535,-44.136342,0,0,0,0,Rede
3219,2025-02-08T00:03:00,3058,RH,São Paulo,RJ,Notebook,Linux,Firefox,Cabo,25,48,17,Falha no Sistema de RH: fica lento ao tentar enviar email.,Falha no Sistema de RH: fica lento ao tentar enviar email.,images/email.png,500,333,Alta,Fechado,Aplicações,0,-0.74,7,2,-25.679233,-52.939072,0,0,0,0,Software
3279,2025-02-08T17:03:00,1417,Operações,Santos,SP,Mobile,Android,Chrome,Cabo,13,8,13,Problema de login: falha ao exportar dados.,Problema de login: falha ao exportar dados.,images/login.png,500,333,Baixa,Em andamento,N1,1,0.395,5,1,-25.829871,-52.577931,0,0,0,0,Acesso
2620,2025-01-31T22:20:00,4675,Operações,Campinas,BA,Mobile,Android,Edge,WiFi,14,8,25,Erro de memória no Word durante a salvar arquivo.,Erro de memória no Word durante a salvar arquivo.,images/office.png,500,333,Crítica,Aberto,N1,0,-0.568,6,3,-33.635684,-51.694642,0,0,0,0,Software
1274,2025-01-16T00:58:00,1317,RH,Santos,PR,Notebook,Windows,Edge,Cabo,19,48,60,"Rede instável, fica lento ao acessar servidor de arquivos.","Rede instável, fica lento ao acessar servidor de arquivos.",images/network.png,500,342,Média,Aberto,Aplicações,0,-0.308,6,0,-28.163267,-47.700405,0,0,0,0,Rede
819,2025-01-10T16:03:00,4686,TI,São Paulo,PR,Notebook,iOS,Safari,Cabo,21,12,2,A conexão de rede está desliga e tela piscando.,A conexão de rede está desliga e tela piscando.,images/network.png,500,342,Alta,Fechado,Infra,0,-0.854,5,1,-23.059487,-50.000274,0,0,0,0,Rede
956,2025-01-12T06:52:00,7295,Financeiro,Curitiba,RS,Mobile,Linux,Safari,WiFi,13,4,63,O placa-mãe apresenta reinicia sozinho e perda de dados.,O placa-mãe apresenta reinicia sozinho e perda de dados.,images/motherboard.png,612,408,Alta,Aberto,N1,0,0.777,4,2,-24.847416,-44.778687,0,0,0,0,Hardware
